idx,w_step_out,w_robot_out,w_conv_out,w_inspect,bottles,blocked,score,is_default
46,0.1417245917990209,0.15189345145884936,0.3136312613838478,0.39275069535828216,229.0,3.2369584965277776,227.3815207517361,False
47,0.2205629991153507,0.0302177908272715,0.46743929497431524,0.2817799150830626,234.8,4.292298331076388,232.65385083446182,False
48,0.522090048262327,0.22344463283068913,0.03000794013435231,0.22445737877263164,237.0,1.1875045569003544,236.40624772154982,False
49,0.1290024807387117,0.02594634444903367,0.061713110409610625,0.783338064402644,233.6,3.224865972222222,231.98756701388888,False
50,0.1270070898066759,0.08135307276816525,0.13998707261934024,0.6516527648058186,229.4,2.8402998385416667,227.97985008072916,False
51,0.6284064284550279,0.11410270138689976,0.00469178162686288,0.2527990885312094,244.2,0.0,244.2,False
52,0.050060141130105075,0.6871110585277239,0.03542407328919219,0.22740472705297865,241.8,0.4942361539957686,241.55288192300213,False
53,0.17206010181895756,0.4853072139304838,0.049118773465127316,0.2935139107854313,234.4,0.5528252430555556,234.12358737847222,False
54,0.23980158782645894,0.5432475993671592,0.11245725191641945,0.10449356088996249,241.0,0.0,241.0,False
55,0.08987882352131525,0.37117970971545156,0.23098855317643474,0.30795291358679844,234.0,0.0,234.0,False
56,0.26282340897328743,0.23644516456619138,0.21415870156009081,0.28657272490043045,233.2,0.446902859375,232.9765485703125,False
57,0.010503991801540262,0.45903989698881875,0.3966541632363356,0.13380194797330533,239.2,0.03888888888888889,239.18055555555554,False
58,0.07260140990866375,0.21520951626935989,0.6134817870682622,0.09870728675371418,240.8,2.6742916666666665,239.4628541666667,False
59,0.15743607876362598,0.3261287528031313,0.04380790045816196,0.47262726797508087,238.6,0.047269687500000004,238.57636515625,False
60,0.02322674209940593,0.01430038555371169,0.7142731815424048,0.24819969080447754,233.6,4.438081683103299,231.38095915844835,False
61,0.10334145214848434,0.3340739687440537,0.4220307055607441,0.14055387354671764,235.4,0.4385220607638888,235.18073896961806,False
62,0.5454880905962594,0.2616590432187166,0.12985278033334827,0.0630000858516757,237.8,1.377038291840723,237.11148085407964,False
63,0.21215122591124527,0.3298972652493903,0.4114134884566936,0.04653802038267087,236.4,0.5083357326212061,236.1458321336894,False
64,0.29547083347208375,0.1478516662825264,0.4931030152306889,0.06357448501470093,243.2,0.0,243.2,False
65,0.061298849954393955,0.3753170210001238,0.07348019272295209,0.48990393632253015,239.6,0.5576703860243056,239.32116480698784,False
66,0.12225486167022431,0.028413502853888932,0.7736101174719606,0.07572151800392608,239.2,3.904273835881076,237.24786308205944,False
67,0.5994332003910269,0.10053627162649212,0.2548295483908864,0.04520097959159442,238.0,1.84022317046415,237.07988841476794,False
68,0.05612551382722114,0.0053110859788990964,0.7693634586857842,0.16919994150809575,232.8,3.3359134374999995,231.13204328125002,False
69,0.14817129929215708,0.18588923708118243,0.03846647330297703,0.6274729903236835,239.6,0.0,239.6,False
70,0.44573204105238406,0.06146071792406096,0.08809867165468081,0.40470856936887417,232.4,0.6252463228262758,232.08737683858686,False
71,0.10256526802127106,0.26355987479550325,0.6003594345610553,0.03351542262217033,236.6,0.1963888888888889,236.50180555555556,False
72,0.12069114866252244,0.5279308284754056,0.025060580129426746,0.3263174427326453,239.4,0.1902354042371877,239.30488229788142,False
73,0.01563571496331863,0.8296864139493968,0.078750673777662,0.07592719730962258,237.6,0.7467492304106137,237.2266253847947,False
74,0.13765825127043688,0.2853118906571365,0.4025460626238239,0.1744837954486027,235.2,0.5373751862382813,234.93131240688083,False
75,0.41304264924456224,0.2622373433146145,0.04603223188583189,0.2786877755549913,237.4,0.1360224693576389,237.3319887653212,False
76,0.07316534568383541,0.4336787123680872,0.33638895525946855,0.15676698668860872,234.8,0.0,234.8,False
77,0.3139177957006293,0.3988396098491824,0.10242995469330117,0.18481263975688714,239.6,0.35008540246093756,239.42495729876953,False
