idx,w_step_out,w_var,w_cont,w_inspect,bottles,blocked,score,is_default
80,0.02270172375436436,0.5967267311735612,0.23780258422453326,0.1427689608475411,186.0,0.42999604980296524,185.7850019750985,False
81,0.013721778039018107,0.16415687289278363,0.014837952127110992,0.8072833969410872,224.6,5.552077254529385,221.8239613727353,False
82,0.0927903145847103,0.10743687725898723,0.5837210340925918,0.21605177406371068,221.6,4.856130384345592,219.1719348078272,False
83,0.37995396462598785,0.0647040005745578,0.3522645032494814,0.20307753154997296,226.4,7.007470213864839,222.89626489306758,False
84,0.3819751042892009,0.042231006205088954,0.23127113538270924,0.34452275412300093,231.8,5.771984476920754,228.91400776153964,False
85,0.20521549411202508,0.1269773407815602,0.259987850815735,0.40781931429067975,227.6,5.721684148573165,224.7391579257134,False
86,0.18674231844962538,0.4563320076768014,0.09538961576429465,0.2615360581092786,229.8,4.091489161913172,227.75425541904343,False
87,0.4596221440625749,0.07226542066217566,0.32107027788121945,0.14704215739403004,236.6,6.310131856910936,233.44493407154454,False
88,0.12879055642242543,0.1692750985679829,0.3894731399287375,0.3124612050808542,231.8,4.493022640155155,229.55348867992242,False
89,0.22516062865346087,0.1905381429026088,0.41729552001035103,0.1670057084335792,226.0,6.419845613325437,222.79007719333728,False
90,0.10054480360040484,0.09354702197519789,0.4149527127535769,0.3909554616708204,230.2,5.326719673527213,227.53664016323637,False
91,0.16056347130657556,0.09743379218392614,0.49446109518081865,0.24754164132867956,230.8,5.944584726747285,227.82770763662637,False
92,0.06118009502350568,0.16784422037051344,0.3392463849771578,0.43172929962882306,226.6,5.366268210987553,223.91686589450623,False
93,0.07414070113003912,0.09022248619639942,0.6606773145299142,0.17495949814364722,223.2,5.06947682421341,220.66526158789327,False
94,0.28488228211900857,0.06279412604970291,0.27606722798140715,0.3762563638498814,232.8,6.354406393168532,229.62279680341575,False
95,0.5556563855607958,0.21257494697044688,0.14456763233108164,0.08720103513767567,234.4,7.349658075866915,230.72517096206656,False
96,0.09479705605342273,0.030369456057371447,0.03338192169943821,0.8414515661897676,226.0,4.783020278536149,223.60848986073194,False
97,0.5523157176001701,0.15852610691227936,0.22023123997703015,0.06892693551052043,233.2,5.97000385021339,230.2149980748933,False
98,0.20577179798654918,0.16975877299003866,0.5440017581890728,0.08046767083433938,225.2,5.348324606976618,222.52583769651167,False
99,0.2855537489131374,0.1449458501877469,0.5144722653096038,0.055028135589511876,229.4,6.2786415220676215,226.2606792389662,False
100,0.43645384958116346,0.09161424556414072,0.19205076671497626,0.2798811381397195,231.0,6.013780835452243,227.9931095822739,False
101,0.3358339771992022,0.12778747036897115,0.3890283713833436,0.147350181048483,228.6,5.711919936825895,225.74404003158705,False
102,0.1961400989672856,0.11205640668409346,0.40746260992296,0.284340884425661,228.8,5.403273830481959,226.09836308475903,False
103,0.05485075717981714,0.057925970244511314,0.32811737489546017,0.5591058976802114,229.0,5.744730341150251,226.12763482942486,False
104,0.023840909099236158,0.06768379976156395,0.5619639638629261,0.3465113272762737,228.2,4.515691285230315,225.94215435738482,False
105,0.023544327879894314,0.4935550821811683,0.10640450734160854,0.37649608259732875,227.0,3.4539180455838148,225.2730409772081,False
106,0.1663192852559944,0.3221682002810587,0.14015700869274939,0.37135550577019744,227.4,5.144109444700303,224.82794527764986,False
107,0.373162352302744,0.020658364533138268,0.47467826760535214,0.13150101555876556,228.4,5.560154793304026,225.619922603348,False
108,0.08120292639083965,0.10616526137800925,0.7149891739113994,0.09764263831975165,223.4,4.494003216564538,221.15299839171774,False
109,0.03790946036472324,0.05743515217853779,0.609493414218656,0.2951619732380831,227.4,6.415857675565171,224.19207116221742,False
110,0.5141707246554298,0.30221740592378504,0.17954333653702925,0.00406853288375588,235.4,7.934745664148349,231.43262716792583,False
111,0.07558474052531639,0.43398821982970714,0.4760399258059922,0.014387113838984224,215.8,0.7451205159340576,215.427439742033,False
112,0.4499361432230144,0.2280336859358585,0.22517182016580808,0.0968583506753191,231.4,7.922972329060942,227.43851383546954,False
113,0.7196538973631966,0.06473026600509466,0.16214369806924217,0.05347213856246658,233.4,12.724142325641878,227.03792883717907,False
114,0.07464447177581071,0.30203409435775586,0.3701749578475338,0.2531464760188996,226.2,4.4569066438422915,223.97154667807885,False
115,0.01967210039500532,0.09948058351887165,0.7188658886627035,0.16198142742341953,226.4,5.3390303750269545,223.73048481248654,False
116,0.3961313835767742,0.06547191519109047,0.3094722277608673,0.22892447347126801,233.8,6.375918232246804,230.6120408838766,False
117,0.6186387396872396,0.04753747766377639,0.1332585811248105,0.2005652015241735,232.0,8.469439017190414,227.76528049140478,False
118,0.1063620234839285,0.42318203080312716,0.09274372696901702,0.3777122187439273,228.0,4.346431101611869,225.82678444919407,False
119,0.20331138526892972,0.5027894850601475,0.19311899397119459,0.10078013569972795,228.8,5.5713683693622915,226.01431581531887,False
120,0.14963286124236064,0.01733854448114399,0.8241129078985209,0.008915686377974425,230.8,4.995020896821289,228.30248955158936,False
